Timestamp,Latitude,Longitude,Altitude,Accuracy,Speed,Accelerometer X, Accelerometer Y, Accelerometer Z
1574091306027.4482,41.04079479355462,28.907290734377604,64.8717041015625,10,6.71999979019165,-0.02947998046875,-0.2721405029296875,-0.9590911865234375
1574091316028.736,41.04078729175128,28.908464619916778,69.969970703125,10,10.5,-0.2009124755859375,-0.5529022216796875,-0.80029296875
1574091316028.736,41.04078729175128,28.908464619916778,69.969970703125,10,10.5,-0.2009124755859375,-0.5529022216796875,-0.80029296875
1574091316028.736,41.04078729175128,28.908464619916778,69.969970703125,10,10.5,-0.2009124755859375,-0.5529022216796875,-0.80029296875
1574091316028.736,41.04078729175128,28.908464619916778,69.969970703125,10,10.5,-0.20684814453125,-0.6361083984375,-0.6375579833984375
1574091316028.736,41.04078729175128,28.908464619916778,69.969970703125,10,10.5,-0.26788330078125,-0.663177490234375,-0.6776580810546875
1574091318026.5178,41.040672082492186,28.908774666515093,70.5194091796875,10,11.399999618530273,-0.1298828125,-0.505218505859375,-0.8636932373046875
1574091320024.9219,41.04073180355228,28.90907499010573,67.44482421875,10,12.199999809265137,0.04095458984375,-0.6146087646484375,-0.91064453125
1574091322032.841,41.04066089265145,28.909392496597867,64.75457763671875,10,12.489999771118164,-0.0928802490234375,-0.4344635009765625,-0.5875396728515625
1574091324028.593,41.040553101376666,28.90974403361688,66.27276611328125,10,13.710000038146973,-0.16015625,-0.15496826171875,-1.038177490234375
1574091326027.59,41.04051965758301,28.91009381043623,67.0963134765625,10,15.029999732971191,-0.10675048828125,-0.0087127685546875,-1.095458984375
1574091328027.4692,41.040487261527254,28.910424308878284,67.3887939453125,10,15.050000190734863,-0.1313018798828125,-0.0469207763671875,-1.06390380859375
1574091330028.9768,41.04041928429253,28.910786490914326,68.34344482421875,10,15.050000190734863,-0.0936279296875,-0.205078125,-0.953582763671875
1574091332026.5688,41.04039371948786,28.911192677942022,71.52337646484375,10,15.8100004196167,-0.2769012451171875,0.0263671875,-1.02716064453125
1574091334027.663,41.04035092987217,28.91153164210628,70.65045166015625,10,14.600000381469727,-0.228118896484375,0.052337646484375,-0.96160888671875
1574091336027.2322,41.040297453329934,28.911870438632473,71.15985107421875,10,14.010000228881836,0.184783935546875,-0.3468475341796875,-1.6681365966796875
1574091338042.3909,41.04027058933027,28.912243936237797,70.99273681640625,10,14.289999961853027,-0.239776611328125,-0.36932373046875,-0.8026123046875
1574091340039.618,41.0402241535867,28.912548115503892,69.1839599609375,10,13.920000076293945,0.069366455078125,0.135772705078125,-0.8566436767578125
1574091342036.174,41.040176334829106,28.912872578975662,71.4627685546875,10,14.069999694824219,0.1846160888671875,0.2441253662109375,-0.9180908203125
1574091344040.026,41.040081451685204,28.91316669995795,75.051513671875,10,14.279999732971191,0.055877685546875,0.26849365234375,-0.96319580078125
1574091346049.276,41.03992093823947,28.91354086811553,76.39453125,10,15.15999984741211,0.065826416015625,0.262481689453125,-0.9618377685546875
1574091348037.5981,41.039793700949325,28.91386935490082,77.72607421875,10,15.180000305175781,-0.06231689453125,-0.6280975341796875,-0.9165191650390625
1574091350050.362,41.039656112008764,28.91421033072184,76.62518310546875,10,15.84000015258789,0.173065185546875,-0.9791107177734375,0.3608551025390625
1574091352034.052,41.03953679561712,28.914565471959218,78.975341796875,10,15.930000305175781,-0.264678955078125,-0.5118560791015625,-0.3415069580078125
1574091354041.0107,41.03939530909158,28.914919858825314,78.8563232421875,10,16.25,-0.0800933837890625,-0.4752960205078125,-0.720367431640625
1574091356030.108,41.03920868601747,28.915207693380225,75.5064697265625,10,16.010000228881836,-0.4415130615234375,-0.6297760009765625,-0.763763427734375
1574091358027.749,41.03905215397574,28.91553726981293,73.64031982421875,10,15.859999656677246,0.0662994384765625,-0.2061767578125,-0.9511260986328125
1574091360031.321,41.03889423891999,28.915827870395887,72.1697998046875,10,14.949999809265137,-0.1650238037109375,-0.3142852783203125,-0.9603118896484375
1574091365029.269,41.038479250893964,28.916580649119723,71.70452880859375,10,14.989999771118164,-0.150970458984375,-0.23046875,-0.89501953125
1574091365029.269,41.038479250893964,28.916580649119723,71.70452880859375,10,14.989999771118164,-0.150970458984375,-0.23046875,-0.89501953125
1574091366030.148,41.03840289175607,28.91670512038182,69.28997802734375,10,14.890000343322754,-0.073516845703125,-0.38751220703125,-0.8502655029296875
1574091368033.3828,41.03821593340583,28.916976442587483,68.55828857421875,10,14.640000343322754,-0.2623291015625,-0.24249267578125,-0.9326934814453125
1574091370025.322,41.03797000836678,28.917241478365767,68.0997314453125,10,13.970000267028809,-0.22705078125,-0.2996673583984375,-0.9295196533203125
1574091372024.74,41.03779830508031,28.91751623715173,68.57080078125,10,14.380000114440918,-0.0196685791015625,-0.22314453125,-1.0268096923828125
1574091374026.29,41.03764143776245,28.917760737267244,70.134521484375,10,13.359999656677246,-0.23638916015625,-0.1241607666015625,-0.8640289306640625
1574091375027.4302,41.03756356988199,28.917879089740026,69.979736328125,10,13.239999771118164,-0.3099212646484375,-0.283721923828125,-0.90020751953125
1574091375027.4302,41.03756356988199,28.917879089740026,69.979736328125,10,13.239999771118164,0.3364715576171875,0.362213134765625,-0.87396240234375
1574091375027.4302,41.03756356988199,28.917879089740026,69.979736328125,10,13.239999771118164,0.208984375,0.1660308837890625,-0.9873504638671875
1574091383103.4531,41.03690651249237,28.918649889555684,71.29681396484375,10,12.25,-0.102752685546875,-0.1783905029296875,-1.028350830078125
1574091386025.011,41.036636740938796,28.91892867165517,70.8267822265625,10,11.470000267028809,-0.0326995849609375,0.0932464599609375,-1.011199951171875
1574091389025.435,41.03630041707403,28.9191758539797,72.74462890625,10,11.380000114440918,0.0247344970703125,-0.07763671875,-1.0919189453125
1574091391026.8591,41.03617255114115,28.919255482059828,75.310791015625,10,9.789999961853027,0.554718017578125,-0.0039520263671875,-0.8290863037109375
1574091396326.171,41.035730657205946,28.919463856172673,70.81549072265625,10,9.539999961853027,0.54071044921875,-0.121673583984375,-0.7526702880859375
1574091396326.171,41.035730657205946,28.919463856172673,70.81549072265625,10,9.539999961853027,0.54071044921875,-0.121673583984375,-0.7526702880859375
1574091397024.6748,41.035654381887085,28.919505849507562,69.85430908203125,10,9.829999923706055,-0.0196990966796875,-0.2696990966796875,-0.944366455078125
1574091397024.6748,41.035654381887085,28.919505849507562,69.85430908203125,10,9.829999923706055,-0.02838134765625,-0.249755859375,-0.971588134765625
1574091400997.5361,41.035396889821655,28.919618502286188,74.830322265625,10,8.710000038146973,-0.0164794921875,-0.2723846435546875,-0.965545654296875
1574091402997.7986,41.035257582590944,28.919713133972994,75.24493408203125,10,9.380000114440918,0.2303924560546875,-0.2202606201171875,-1.104217529296875
1574091404998.0215,41.035115006417996,28.91979360024344,74.422119140625,10,8.229999542236328,-0.3094940185546875,0.1800689697265625,-0.911041259765625
1574091406998.2083,41.0349437641362,28.91983601267349,73.2711181640625,10,8.680000305175781,-0.392974853515625,-0.1764678955078125,-0.927734375
